id,series_order_detected,title_detected,language,source_extract_found,mechanical_pass_found,editorial_pass_found,qa_status,bestseller_readiness,final_export_candidate_found,final_export_path,epub_found,pdf_found,docx_found,kpf_found,cover_found,cover_path,cover_kdp_ready,metadata_found,short_description_found,long_description_found,keywords_found,price_found,gumroad_url,medioevo_store_url,medioevo_books_url,public_confirmed,recommended_product_type,publication_readiness,public_safety_class,risk_flags,missing_items,next_action
15_LOS_OBSERVADORES,16,MEDIOEVO: Los Observadores,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
16_LA_HISTORIA_OCULTA,17,MEDIOEVO: La Historia Oculta,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
17_JUEGO_DE_ROL,18,MEDIOEVO: Juego De Rol,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
18_VOYNICH,19,MEDIOEVO: Voynich,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
19_NEMONTEMI,20,MEDIOEVO: Nemontemi,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
20_EL_ÚLTIMO_CAFÉ,21,MEDIOEVO: El Último Café,es,False,False,False,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
21_OBSERVAR_PARA_SOBREVIVIR,22,MEDIOEVO: Observar Para Sobrevivir,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
22_PROTOCOLO_DE_CONTENCIÓN,23,MEDIOEVO: Protocolo De Contención,es,False,False,False,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
23_SANGRE_Y_CENIZA,24,MEDIOEVO: Sangre Y Ceniza,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
24_TRES_REINOS,25,MEDIOEVO: Tres Reinos,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
25_CRONONAUTAS,26,MEDIOEVO: Crononautas,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
26_PATOREIMOUS,27,MEDIOEVO: Patoreimous,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
27_TISHA,28,MEDIOEVO: Tisha,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
28_GONROS,29,MEDIOEVO: Gonros,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
29_EL_INFIERNO_SILENCIOSO,30,MEDIOEVO: El Infierno Silencioso,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
30_TEYOLIA,31,MEDIOEVO: Teyolia,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
31_CRISTALES_DE_DRAGON,32,MEDIOEVO: Cristales De Dragon,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
32_FRECUENCIAS,33,MEDIOEVO: Frecuencias,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER;ROW_BLOCKER_NOTE_PRESENT,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
33_DIVISION_47,34,MEDIOEVO: Division 47,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
34_NIVEL_MENOS_DOCE,35,MEDIOEVO: Nivel Menos Doce,es,True,True,True,qa_pass,AMBER,False,,False,False,False,False,False,,false,False,False,False,False,False,,,,False,hold,HOLD_PRIVATE_REVIEW;NEEDS_EXPORT;NEEDS_COVER;NEEDS_METADATA;NEEDS_PRICE;NEEDS_STORE_PAGE,PRIVATE_SOURCE_ONLY,PRIVATE_PROTECTED_MANUSCRIPT;BESTSELLER_READINESS_AMBER,publication_export_epub_pdf_docx_or_kpf;cover_asset;product_metadata_short_long_keywords;price_decision;gumroad_or_medioevo_product_url,Hold private; complete asset and metadata inventory before any public decision.
